platform,komentar,timestamp
YouTube,Harus diselidiki juga Jaksanya ini berbuat begitu motif nya apa? Karena kasus seperti ini nantinya bisa terjadi lagi kalau gak diselidiki sampai tuntas.,2026-04-18 12:13:34
YouTube,Bang Amsal memang keliatan banget didikan anak Pendeta. Dia lebih memilih memaafkan dan menebarkan cinta kasih. ,2026-04-18 12:13:34
YouTube,"Sekali kerja berkaitan dengan pemerintah, malah difitnah dan dihancurin hidup org yg lagi berjuang",2026-04-18 12:13:34
YouTube,"Dari podcast ini kok Saya jadi ingat sama si Agus yang di tolong justru menggigit balik, sedangkan si amsal ini berlapang dada dan berjiwa besar menerima walaupun jelas di kriminalisasi, semangat pasti si amsal ke depan akan menjadi orang besar",2026-04-18 12:13:34
YouTube,Info nya masih ada 2 pekerja kreatif yang masih disell selain om amsal... BONGKAR SEMUA.. biar melek tuh semua bahwa kita pekerja kreatif bukan profesi receh.. tapi kita pekerja profesional... jangan anggap remeh pekerjaan kita!,2026-04-18 12:13:34
YouTube,Kata nya jaksa adalah penegak hukum dan pelindung sila ke 4 teryata jaksa selama ini adalah sarang kecoak,2026-04-18 12:13:34
YouTube,No viral no justice itulah hukum indonesia sekarang yg punya kekuatan buat hukum adalah netizen.mau percaya sama siapa sekarang rakyat.polisi.hakim. pejabat .sekarang hanya harapan para netizen yg bisa bikin keadilan buat yg terintimidasi oleh oknum......NO VIRAL NO JUSTICE.,2026-04-18 12:13:34
YouTube,"Kt pak mahfud di podcastnya bs jd ini bagian dr setor kasus kejaksaan aja, krn mrk ada target setoran kasus utk naek pangkat dll. Jd yah dicari² aja kesalahannya",2026-04-18 12:13:34
YouTube,Bang Denny Undang Daffa Anak Bojonegoro Dengan Tingkat kecerdasan Sains diatas rata rata.,2026-04-18 12:13:34
YouTube,Mama Karo Memang Paling Bestttt Pemenang sesungguhnya gak perlu koar koar sana sini menjelaskan kalau lawannya lemah!cukup terangkan inti masalahnya tanpa menjelek2kan pribadi seseorang.,2026-04-18 12:13:34
YouTube,Rencana Tuhan pasti indah pd waktunya. Inspirasi bgm kalau kita selalu mengandalkan Tuhan. Puji Tuhan,2026-04-18 12:13:34
YouTube,salah ketik = jadi kejari kasih brownis lewat rekan = jadi jaksa,2026-04-18 12:13:34
YouTube,"Bang Amsal ini definisi Tampan Cerdas & Pemberani..  Tekadnya itu lho keren.. mentalnya gak kaleng""..  Respect bang Amsal.. Respect juga buat anda para netizen yg kritis.. Sukses ya kedepannya..",2026-04-18 12:13:34
YouTube,Sumpah ini orang KERENNNNNN️,2026-04-18 12:13:34
YouTube,"Tuhan yesus baik banget,melindungi keluarga dan anak"" nya Amin",2026-04-18 12:13:34
YouTube,"If creativity /  idea  = nol, editing = nol , yang menuduh mulai hari ini harus bekerja sebagai penuntut harus digaji Nol : biar adil !!!!",2026-04-18 12:13:34
YouTube,"Mungkin karena bang Amsal gak ngasih ""bagian""  dari project ke mereka² itu",2026-04-18 12:13:34
YouTube,"Keren pemikiranmu, bro Amsal. Jaga la selalu integritasmu, bro",2026-04-18 12:13:34
YouTube,"Pengalaman di Penjara: Amsal menceritakan pengalamannya selama 131 hari di rutan, mulai dari kondisi kamar yang sangat overcapacity (130 orang dalam ruangan 7x7 meter) hingga istilah ""angsa"" bagi tahanan kasus tipikor",2026-04-18 12:13:34
YouTube,"""Aku percaya semua pasti mendatangkan kebaikan. Tuhan, engkau baik"". Luar biasa!! Di saat wawancara Sitepu ini bersaksi bahwa Tuhan baik walaupun dijadikan tersangka. Puji Tuhan. Maju terus bro Amsal, Tuhan memberkatimu selalu!",2026-04-18 12:13:34
YouTube,Keren Pak Amsal...jaksa udh terlalu over power...evaluasi UU Kejaksaan,2026-04-18 12:13:34
YouTube,"Biarpun katanya JAKSA ahli HUKUM dan MENGERTI HUKUM, tapi KEBENARAN tetap MENEMUKAN JALANNYA sendiri ... Bg AMSAL keren bang.. LAWAN TERUS",2026-04-18 12:13:34
YouTube,"Penjarakan jaksa , biar kerja bener anjim",2026-04-18 12:13:34
YouTube,Bersih banget hatimu bang... smoga org2 yg memenjarakanmu cepet masuk neraka ,2026-04-18 12:13:34
YouTube,Auditor nya juga harus di penjarakan itu,2026-04-18 12:13:34
YouTube,"mama amsal kam hebat , kami putra putri Karo bangga sama kam ",2026-04-18 12:13:34
YouTube,Tuhan mmg turut bekerja  utk mendatangkan kebaikan. Praise the Lord,2026-04-18 12:13:34
YouTube,"Salut sama bang Amsal. Dia pantas jadi orang besar krn kebesaran hatinya. Kau Menginspirasi, bang",2026-04-18 12:13:34
YouTube,Ya emang patut di pertanyakan kompetensinya di semua lini pemerintahan,2026-04-18 12:13:34
YouTube,Di paksa sehat di negara yang sakit ,2026-04-18 12:13:34
YouTube,"Saya juga lahir di Tanah Karo,Kabanjahe,, maju Kam terus Amsal,,mejuah juah kebenaran akan terjawab bagi orang yang jolim,,kepada masyarakat kecil,, sehat sehat kerina man Keluarga,ndu Amsal, kita Tading i simpang Enam K.jahe,",2026-04-18 12:13:34
YouTube,Waktu ketemu para jaksa di pesawat supaya ada bahan pembicaraan seharusnya lu tawarin brownies lah bang.,2026-04-18 12:13:34
YouTube,Doi dijebak neh... puji Tuhan Doi menang !,2026-04-18 12:13:34
YouTube,"Alhamdulillah dengan adanya sosial media, ketidakadilan yang diterima oleh saudara amsal tereskalasi sampai DPR Terima kasih sudah berjuang untuk keadilan, Satu yang masih mengganjal, orang yang inkompeten tsb harus menerima konsekuensinya",2026-04-18 12:13:34
YouTube,Bang densu tolong ada terdakwa lain juga yg sama seperti bg amsal tp gak viral.,2026-04-18 12:13:34
YouTube,Mudah mudahan pekerja ekonomi kreatif bisa lebih maju dan memberikan dampak yang baik di seluruh masyarakat Indonesia,2026-04-18 12:13:34
